division,div_name,year,month,date,pdsi,nation,drought_class
6,East Central,2021,2,2021-02-01,-0.64,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2021,3,2021-03-01,-1.03,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2021,4,2021-04-01,-1.19,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2021,5,2021-05-01,-1.54,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2021,6,2021-06-01,-3.11,Rosebud (Sicangu Lakota),Severe drought
6,East Central,2021,7,2021-07-01,-3.26,Rosebud (Sicangu Lakota),Severe drought
6,East Central,2021,8,2021-08-01,-0.03,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2021,9,2021-09-01,0.64,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2021,10,2021-10-01,1.57,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2021,11,2021-11-01,-0.34,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2021,12,2021-12-01,-0.41,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2022,1,2022-01-01,-0.68,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2022,2,2022-02-01,-0.96,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2022,3,2022-03-01,-1.57,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2022,4,2022-04-01,-0.8,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2022,5,2022-05-01,-0.52,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2022,6,2022-06-01,-0.61,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2022,7,2022-07-01,-0.26,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2022,8,2022-08-01,-0.19,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2022,9,2022-09-01,-1.13,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2022,10,2022-10-01,-1.38,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2022,11,2022-11-01,-1.36,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2022,12,2022-12-01,1.11,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2023,1,2023-01-01,1.18,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2023,2,2023-02-01,1.21,Rosebud (Sicangu Lakota),Near-normal or wet
